Jump to:,,,,,,,,ア,,,,,イ,,,,,ウ,,,,,エ,,,,,オ,,,,,カ,,,,,キ,,,,,ク,,,,,ケ,,,,,コ,,,,,サ,,,,,ツ,,,,,ス,,,,,セ,,,,,ソ,,,,,タ,,,,,チ,,,,,ツ,,,,,テ,,,,,ト,,,,,ナ,,,,,二,,,,,ヌ,,,,,ネ,,,,,ノ,,,,,ハ,,,,,ヒ,,,,,フ,,,,,へ,,,,,ホ,,,,,マ,,,,,ミ,,,,,ム,,,,,メ,,,,,モ,,,,,ヤ,,,,,ユ,,,,,ヨ,,,,,ラ,,,,,リ,,,,,ル,,,,,レ,,,,,ロ,,,,,ワ,,,,,ン,
,,,,,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation
,,,,,,,,,,,,,,,,"ウックン,",ukkun,*swallow* *gulp*,See also *gokun* and *kokun*. ,,,,,,,,,,,,がちん,,,,,,,(4) *grind grind*,,,ぐんやり,,*stretch*,,,,,,,,ごきー,,*snap*;,(2) Ex: Cracking one's knuckles;,,"サワサワ,",sawa sawa,*feel feel*,SFX for when people touch others; usually H-related. ,,,,,,,すくすく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドカドカ,",doka doka,(1) *thud thud*; ,(1) To walk into someone's property arrogantly. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *electric shock* *bzzt*; ,"(3) Sound of electricity flowing or getting electrocuted, or a light electric shock;",,"ブンブン,",bun bun,*shake shake*,,,,,*brush*;,(4) Like food-stains on a carpet. ,,,,*damaged*,,,,,,,,,,,,,"ムラムラ,",mura mura,(1) *turned on* *interested*;,(1) SFX for sexual attraction;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*hee haa*,,,,,,
,,,,,,"アッカンベー,",akkanbe-,suck shit~! hehehe!,Said in a cute manner. ,,,,,,,うっくん,,,,,,,,,,,,,,,"ガチリ,",gachiri,(1) *spends carefully*;,,,,,*gnash*;,,,,,,,,,,,,,,,(2) *crack*,(3) To strike something hard,,さわさわ,,,,,"ジーン,",ji-n,(1) *stare* ,"(1) The sound of staring, silence, or of remaining frozen/motionless;",,,,,,,,,,,,,,,,,,,,"The humor might be lost in translation. It's like ""PUHLEAASSE"" but emphasized in a very humble, cute, funny way. ",,"チンチン,",chin chin,*clangity clang*,Like the sound of a tram passing by. See also *gatan goton*. ,,,,,,,,,,,,どかどか,,(2) *smack whack*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,"バチバチ,",bachi bachi,*crackle crackle* *buzz buzz*,SFX for floating electricity. ,,,,(4) *rip rip* *tear tear*;,(4) SFX for tearing apart paper-like material;,,ぶんぶん,,,,,,,(3) *sitting flat*,,,,,*worn-out*,,,,,,,,,,,,,むらむら,,(2) *irresistibly* *suddenly*,"(2) SFX for an impulse emotion, a sudden desire to want to do something ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*huff huff*,,,,,,
,,,,,,あっかんべー,,,,,,,,,,,,,,,,,,,,,,,,,がちり,,(2) *hold firmly*;,,,,,(5) *scratching*;,,,"グオー,",guo-,*roar*,Can also be the sound of fire. ,,,,,,,,,*disjoint*;,,,,,,,,じーん,,*silence* ,"(2) Happy feeling, comedic awe. ",,"スン,",sun,(1) *coldhearted*,"(1) To take a coldhearted attitude; to be curt, blunt or cold;",,,,,,,,,,,,,,,,,ちんちん,,,,,,,,,,,,,,,,,(3) *kick kick*,,,,,,,,,,,,,,,,,,,,,,,,,,,,ばちばち,,,,,,,(5) *nervous* *strained*;,(7) Repetitively ripping something so that it feels like it's vibrating;,,"ブンチャチャチャ,",bunchachacha,*music*,"*bun* is a slow beat, and *cha cha* is quick beats. See also *runtata*. ",,,,*fwump*,,,,,*tattered*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワタワタ,",wata wata,(1) *panic*;,(1) Moving busily;,,,,,
,,,,,,,,,,,,,,,,"ウマウマ,",uma uma,*completely taken in*,"Not with it, out of it. ",,,,,,,,,,,,,,(3) *firm* *strong*,,,,,(6) *tightening*;,,,ぐおー,,,,,,,,,,,,(3) *bam*,See also *gokin* and *goki*. ,,"ザ,",za,*whoosh*,"Strong, energetic movement. ",,,,*frozen*;,,,すん,,*curt*,"(2) To be concerned inside, while pretending no surface concern;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドキッ,",doki,*heart thump*,Usually for love situations or when scared.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6) *shudder* *tremble*;,"(8) SFX for a prickling, needle-like, painful sensation. Longer than *piri piri*. ",,ぶんちゃちゃちゃ,,,,,,,*not budging*,,,,,*shambles*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わたわた,,(2) *flap flap*,"(2) SFX for arms flailing around, trying to cover a mistake. ",,,,,
,,,,,,"アッケラカン,",akkerakan,*indifference* *calm*,,,,,,,,うまうま,,,,,,,,,,,,,,,"ガガ,",gaga,(1) *pow pow* ,"(1) SFX for shooting missiles from a weapon, or several small to medium explosions at once;",,,,(7) *crunch*,,,,,,,,,,,,,,,*smack*;,,,ざ,,*fwuush*,,,,,(2) *shine* ,,,,,*blunt* *cold*;,"(3) To carry oneself well, in the manner of a geisha. ",,,,,,,,,,,,"タップリ,",tappuri,*plenty* ,"Ex: ""Plenty of time""",,"チンパンカンプン,",chinpankanpun,*clueless*,,,,,,,,,,,,,どきっ,,*thump* *ba-dump*,,,,,,,,,,,,,,,,,,,,,,,,,,,,"バチン,",bachin,(1) *slap*; ,(2) SFX for when electricity suddenly goes off. ,,,,(7) *vibrate* *bzz*;,,,,,,,,,,*not moving*;,,,,,(2) *crushed* ,,,,,,,,,,,,,"ムシャ,",musha,*chomp*,Like taking a bit bite off of a drumstick. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,あっけらかん,,,,,,,,,,,,,,,,,,,,,,,,,がが,,*bang bang*;,(2) SFX for several mid-level sounds of impact happening closely together;,,"ギロ,",giro,*stare* *glare* *stares down*,A momentary glare intended to intimidate an opponent. See also *gin*. ,,"グオン,",guon,,"Sound of a dryer. For sound of a washing machine, see *goun*. ",,,,,,,,,(4) *flash*,,,,,*fwiishh*,,,,,*glow*;,,,,,(2) *calm*,,,,,,,,,,,,,たっぷり,,*enough*,"Ex: ""Pan full of water""",,ちんぱんかんぱん,,,,,,,,,,,,,,,,,,See also *doki* (ドキ) and *doki doki* (ドキドキ). ,,,,,,,,,,,,,,,,,,,,,,,,,,,ばちん,,(2) *bzz!*,,,,,(8) *prickle*,,,"ブオ,",buo,(1) *blow*;,(1) SFX for hairdryer blowing;,,,,(4) *stained*,,,,,*destroyed*;,,,,,,,,,,,,,むしゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"アクセク,",aku seku,*toil* *drudge* *restless*,,,,,,,,"ウム,",umu,*I see* *hmm*,,,,,,,,,,,,,,,(2) *don don* ,(3) SFX for several small explosions or rocks falling;,,ぎろ,,,,,ぐおん,,,,,,,,,,"ゴキィアア,",gokiiaa,*ka-bam!*,Hitting something or someone really really hard. ,,"ザッ,",za,(1) *thud* *slide*;,(1) SFX for when one slides their shoes on gravel or grass; expresses the existence of that character; sound of people/person walking;,,,,(3) *touched*,,,,,(3) *smooth*,,,,,,,,,,,,,,,*full*,"Ex: ""Enough confidence to do a speech""",,"チラッ,",chira,*glance*,"A quick and momentary, quick glance. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ビリビリッ,",biribiri,*prickle*,"SFX for a prickling, needle-like, painful sensation. Longer than *piri piri*. ",,ぶお,,(2) *whoosh* *fsshh*,(2) SFX for a light wind. ,,"ベットリ,",bettori,*stuck together* *glued*,"SFX for when someone/thing is stuck together. Ex. glue and paper, even couples. ",,,,(3) *cry* *drip*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワワ,",wawa,*whoa*,"In a ""what the heck"" way. ",,,,,
,,,,,,あくせく,,,,,,,,,,うむ,,,,,,,,,,,,,,,,,*bam bam*;,"(4) SFX for several mechanical explosions, like a machine gun. ",,,,,,,,,,,,,,,,,ごきぃああ,,*ker-wham!*,,,ざっ,,(2) *footstep on grass* *walking quickly* *running through grass/bushes*;,"(3) Generic white noise sound, can be TV static, etc;",,"ジート,",ji-to,*stare* *silence* *frozen*,"The sound of staring, silence, or of remaining frozen/motionless. ",,,,*fwwsh*,,,,,,,,,,,,,,,*a lot*,Ex: Someone wearing more than enough clothing (i.e. a huge jacket in the middle of summer) ,,ちらっ,,*peek*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"バチンバチン,",bachin bachin,*heavy typing*,,,びりびりっ,,,,,,,,,,べっとり,,,,,"ボロボロ,",boro boro,(1) *crumble*; ,(1) SFX for something falling apart; ,,,,,,,,,,,,"ムシッ,",mushi,*rip* *tear* *tear apart*,Like tearing apart something paper-like. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わわ,,,,,,,,
,,,,,,"アン,",an,*ahn*,See also *aah*. ,,,,,,,"ウン,",un,*nod* *understands* *mm hmm* *yup*,Nodding in understanding or acknowledgement. ,,,,,,,,,,,,,,(3) *rumble rumble*;,,,"ギロッ,",giro,*glare*,"SFX for a sudden, angry glare. ",,"グオオ,",guoo,*roar* *roooaarr* *ruummbbbllee* *rumble*,SFX for a powerful engine rumble or loud booming effect. ,,,,,,,,,,,,,,(3) *white noise*;,(4) SFX for when knocking things off a table with your arm;,,じーと,,,,,"スナリ,",sunari,*slender* *smooth* *graceful*,See also *surari*. ,,,,,,,,,,,,,,*rich*,,,,,,,,,,,,,,,,,,"ドキ,",doki,*thump*,Usually for love situations or when scared.,,,,,,,,,,,,,,,,,,,,,,,,,,,ばちんばちん,,*tap tap*,,,,,,,,,,,,,,,,,,ぼろぼろ,,(2) *torn*;,(2) For something in a torn state; ,,,,,,,,,,,,むしっ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,あん,,,,,,,,,,うん,,,,,,,,,,,,,,,,,(4) *ratatat-tat*,,,ぎろっ,,*flash*,,,ぐおお,,,,,,,,,,"ゴキキキ,",gokikiki,*roarrr*,SFX for strong fire engulfing something. ,,,,(4) *knock* *swipe*;,"(5) SFX for sudden, swift, deadly, and/or covert movement;",,,,,,,すなり,,,,,,,,,,,,,,,,,,,,"チラ,",chira,*glance*,"A quick look, or momentarily catching something in sight. ",,,,,,,,,,,,どき,,*heart-thump*,,,,,,,,,,,,,,,,,,,,,,,,,,,,"バチュ,",bachu,*slap*,,,"ビローン,",biro-n,*blehh*,"SFX of something being exposed, i.e. Tongue. ",,"ブオー,",buo-,(1) *whoosh* *fsshh*;,(1) SFX for a light wind blowing by;,,"ヘヘ,",he he,*hehe* *hee hee* *laugh*,Light laughter. ,,,,(3) *rumpled* ,(4) SFX for tears flowing. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワザワザ,",waza waza,*expressly* *intentionally*,To go through the trouble of doing something. ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ガギ,",gagi,*clang*,,,,,,,,,,,,,,,,,,ごききき,,,,,,,(5) *shwipp*;,(6) Instead of just *white noise*;,,"ジートン,",ji-ton,*stare* *silence* *frozen*,"The sound of staring, silence, or of remaining frozen/motionless. ",,,,,,,,,,,,,,,,,"タラタラ,",tara tara,*sweating*,SFX for perspiration. ,,ちら,,,,,,,,,,,,,,,,,,See also *doki* (ドキッ) and *doki doki* (ドキドキ). ,,,,,,,,,,,,,,,,,,,,,,,,,,,ばちゅ,,*smack*,,,びろーん,,,,,ぶおー,,(2) *roar* *whoosh*,(2) SFX for an intense blast of power or motion ,,へへ,,,,,,,*scuffed ,,,,,,,,,,,,,"ムッスリ,",mussuri,*urgh* *grr*,SFX for a grunt or growling sound of frustration or anger. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わざわざ,,,,,,,,
,,,,,,"アングリ,",anguri,*open-mouth* *stunned* *dumbfounded*,"Gazing open-mouthed, stunned, dumbfounded with the mouth wide open.",,,,,,,"ウンウン,",un un,(1) *groan* *agony*;,"(1) Groaning with pain, to agonize;",,,,,,,,,,,,がぎ,,,,,"ギロン,",giron,*angry noise*,,,"グプッ,",gupu,(1) *splish*;,"(1) A wet, squishy noise;",,,,,,,,,,,,,,(6) *stand*;,"(9) SFX for stepping over something or someone protectively, and pushing it/them back. ",,じーとん,,,,,"スンナリ,",sunnari,*effortless*,For the flow of events to flow without interference. To go smoothly. ,,,,,,,,,,,,たらたら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"バフ,",bafu,*baf*,"The sound of deflation or air cushion, sound heard when plopping onto a bed or couch or something soft. ",,,,,,,,,,,,,,,,,,,*slightly damaged*,,,,,,,,,,,,,むっすり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,あんぐり,,,,,,,,,,うんうん,,(2) *nod nod*,(2) Nodding in agreement repeatedly. ,,,,,,,,,,,,"ガハッ,",gaha,(1) *gah* *gack*;,(1) A gasp choke sound;,,ぎろん,,,,,ぐぷっ,,(2) *slurp*,(2) A wet noise ,,,,,,,"ゴキン,",gokin,(1) *break*,(1) Ex: Breaking a bone;,,,,(7) *rush* *dash*;,,,,,,,,すんなり,,,,,,,,,,,,,,,,,,,,"チラチラ,",chira chira,*glance glance*,Usually quickly and momentary. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ばふ,,*thud*,,,"ビロン,",biron,*blehh*,Tongue hanging out. ,,,,,,,"ヘヘヘ,",hehehe,*heh heh heh*,Laugh. ,,,,*tattered*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウネウネ,",une une,*winding* *meandering*,,,,,,,,,,,,,がはっ,,(2) *splurt*,"(2) Choking, or spitting something out of one's mouth (like choking on blood) ",,"ギシ,",gishi,(1) *creak*;,(1) SFX for bed movement. ,,,,,,,,,,,,ごきん,,*snap*;,(2) Ex: Cracking one's knuckles;,,,,(8) *rustle*;,,,"ジーウ,",ji-u,*jeeewooo*,"Song of cicadas, cicada cry. ",,,,,,,,,,,,,,,,,"タラリラリー,",tarari rari-,*tweedle dee*,"Enjoying sound of music-making, like a violinist playing something. ",,ちらちら,,,,,,,,,,,,,,,"ドキドキ,",doki doki,*heart thump heart thump*,"SFX for a love situation or scared, in a continuous stream/motion; SFX for an anxious heartbeat. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,*plop*,,,びろん,,,,,"ブラブラ,",bura bura,*hanging about*,"Where one is idling around pointlessly, just hanging around. ",,へへへ,,,,,,,*worn-out*;,,,,,,,,,,,,,"ムス,",musu,*grimace* *anger* *sulky*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"アップアップ,",appu appu,*gasp* *struggle*,"Gasping for air, struggling to stay afloat. ",,,,,,,うねうね,,,,,,,,,,,,,,,,,,,,ぎし,,(2) *rustle*,,,,,,,,,,,,,,,(2) *crack*,(3) To strike something hard,,,,(9) *push* *shove* *blocks*;,,,じーう,,,,,"スパ,",supa,(1) *cut* *break*;,Cutting or breaking something. See also *zuba*. ,,,,,,,,,,,,たらりらりー,,,,,,,,,,,,,,,,,,,,どきどき,,*ba-dump ba-dump*,,,,,,,,,,,,,,,,,,,,,,,,,,,,"バグ,",bagu,*impact*,,,,,,,,ぶらぶら,,*aimlessly*,,,,,,,,,,(4) *cry* *drip*,,,,,,,,,,,,,むす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,あっぷあっぷ,,,,,,,,,,"ウンギリ,",ungiri,*fed up* *tired of*,Tired of (something). ,,,,,,,,,,,,,,,,,,,,,,"グラ,",gura,(1) *lose balance* *stagger* *move shakily*;,(1) See also *zuru*;,,,,,,,,,*disjoint*;,,,,,(10) *skuff*;,,,,,,,,すぱ,,(1) *slash*,,,,,,,,,,,,,,,,,,"チラホラ,",chira hora,*flutter flutter*,"SFX for something falling lightly, like snowflakes falling gently through the atmosphere. ",,,,,,,,,,,,,,*pit-a-pat*,,,,,,,,,,,,,,,,,,,,,,,,,,,,ばぐ,,*bam*,,,"ビシャッ,",bisha,*splash*,"A little splash, i.e. when someone throws water at you. ",,,,*dangling*,,,"ヘコヘコ,",heko heko,*depressed*,,,"ボサボサ,",bosa bosa,(1) *messy*; ,(1) Messy hair; ,,,,,,,,,,,,"ムズムズ,",muzu muzu,(1) *impatient*;,"(1) State of impatience, like *ウズウズ* but not in the sense that you are eager to do something. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うんぎり,,,,,,,,,,,,,,,"ガハハ,",gahaha,*evil laugh*,"Same as bwahaha, fwahaha, gwahaha. ",,"ギシギシ,",gishi gishi,*creak creak*,,,ぐら,,(2) *tip* *spill*;,(2) Like a mug or teacup falling over;,,,,,,,,,(3) *bam*,See also *goki-* and *goki*. ,,,,(11) *turn* *whirls around*,,,"ジィーッ,",jii-,*stare* *staaare*,SFX for gazing fixedly at something or someone. ,,,,,,,,,,,,,,,,,"タタタ,",tatata,(1) *running lightly*,,,ちらほら,,,,,,,,,,,,,,,"ドキン,",dokin,*heart thump*,A heavier notion that *doki* ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*bap*,,,びしゃっ,,,,,,,*strolling*,,,へこへこ,,,,,ぼさぼさ,,(2) *gazey*,(2) Sitting around doing nothing when you're meant to be doing something. ,,,,,,,,,,,,むずむず,,(2) *itchy*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"アラヨッ,",arayo,*hup* ,"Along with hoisatto, these are used when one is doing some physical task and finishing it easily. One uses either or both of them at a time. ",,,,,,,,,,,,,,,,,,,,,,がはは,,,,,ぎしぎし,,,,,,,(3) *sag*,(3) Like when one's energy is being sapped away. ,,,,,,,,,*smack*;,,,"ザザ,",za za,*rustling* *woosh* *whoosh*,"Ex. Wind rustling in leaves, grass. ",,じぃーっ,,,,,"スパコーン,",supa ko-n,*ker-smack* *hits*,"SFX for a powerful, exaggerated hitting motion, like smacking someone smartly with a fan. ",,,,,,,,,,,,たたた,,*fast pace*,,,,,,,,,,,,,,,,,,どきん,,*thump* *ba-dump*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*thunk*,,,,,,,,,,*hanging around*,,,"ヘナヘナ,",hena hena,*worn out* *exhausted*,"Don't have any strength in the legs to support oneself, like a dying flower. See also *heto heto*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,あらよっ,,*up we get* ,,,,,,,,"ウニ,",uni,*yawn* *ahh*,Sound you make with your mouth when waking up. ,,,,,,,,,,,,,,,,,"ギスギス,",gisu gisu,(1) *awkwardness* *strained*,"(1) An awkward, uneasy atmosphere or situation to be in because of the bad relationship between certain people; ",,,,,,,,,,,,,,(4) *flash*,,,ざざ,,,,,,,,,,すぱこーん,,,,,,,,,,,,,,,,,*quickly*,,,"チラリ,",chirari,*quick sideways glance*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*thud*,,,"ビシャビシャ,",bisha bisha,(1) *soaked*,(1) SFX for a physical state of being covered in something liquid (water);,,"ブラーン,",bura-n,*hang* *cling* *dangle*,"SFX of something hanging, like *Pura pura* ",,へなへな,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,*off we go*,,,,,,,,うに,,,,,,,,,,,,,,,"ガジガジ,",gaji gaji,*grind* *munch* *chew chew*,Like chewing on a toothpick between your teeth. ,,ぎすぎす,,(2) *thin and bony*,"(3) Also used to describe sharpness, objects as well as personality; someone who doesn't easily trust people. Ex: Naoya in Love mode before meeting Reiji. ",,,,,,,,,,,,"ゴックン,",gokkun,*swallow*,See also *goku* and *gokun*. ,,,,,,,"ジジジ,",jijijiji,*slowly burning* *bz bz bz*,SFX for gathering one's energy. ,,,,,,,,,,,,,,,,,,,*fast walk*;,,,ちらり,,,,,,,,,,,,,,,"ドッカーン,",dokka-n,*kawah----m*,"SFX for a huge explosion, such as a volcanic explosion. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,*bump*,,,びしゃびしゃ,,*slushy*,(2) SFX for the sound of splashing water;,,ぶらーん,,,,,,,,,,"ボショ,",bosho,*sad*,"SFX for a somber, disappointed, or upset mood. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワワ,",wawa,*whoa*,"In a ""what the heck"" way. ",,,,,,,,,,,,,,,,,,,,
,,,,,,"アラヨット,",arayotto,*up we get* *off we go*,A little saying like よいしょ、よっこらせ which is said when doing physical tasks. ,,,,,,,,,,,,,,,,,,,,,,がじがじ,,,,,,,,,,"グラグラ,",gura gura,(1) *shaky* *wobbly*;,(2) Like the shaking in an earthquake. ,,,,,,,ごっくん,,*gulp*,,,"ザー,",za-,(1) *vssshh* *raining*;,"(1) SFX for water; usually heavy rain or an aggressive flow of water. Softer sound than *zaa*, which can also be rain; louder rain than *saa*;",,じじじ,,,,,"スパスパ,",supa supa,*easily* *fast and efficient*,To do something without effort. ,,,,,,,,,,,,,,(2) *tap tap tap* *step step step*;,,,"チリ,",chiri,*smirk* *heh*,"SFX for a sardonic, sarcastic grunt or grin. ",,,,,,,,,,,,どっかーん,,*kaboom*,,,,,,,,,,,,,,,,,,,,,,,,,,,,"バヒュ,",bahyu,*launch*,"Sound of launching something, such as a missile. ",,,,*wet*;,(3) SFX for the continuous splashing of water against something;,,,,,,,"ヘナリ,",henari,*bent*,,,ぼしょ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わわ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,あらよっと,,,,,,,,,,"ウニー,",uni-,*nya-*,As used by Kikumaru in Prince of Tennis (PoT). ,,,,,,,,,,,,,,,,,,,,,,ぐらぐら,,(2) *rattle rattle*,,,,,,,,,,*glug*,,,ざー,,(2) *rustle*;,"(2) Rustling of cloth, clothing, usually for appearance of a character;",,,,,,,すぱすぱ,,,,,,,,,,,,,,,,,(3) *scuttling*,,,ちり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ばひゅ,,,,,,,(2) *splashing*;,"(4) SFX for water coming down from the sky, like in terms of extreme rainy or stormy weather ",,"ブラン,",buran,*hanging* *dangling*,,,へなり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うにー,,,,,,,,,,,,,,,"ガキィッ,",gakii,*clash* *clang*,"SFX for a clashing of swords, or opposing powers in a fight. ",,"ギトギト,",gito gito,*oily*,,,,,,,,,,,,,"ゴックリ,",gokkuri,*nod* *nodding off*,Like when nodding off to sleep because of exhaustion or having an all-nighter. ,,,,(3) *sliide* *slip*,(3) SFX for a sliding motion ,,"ジックリ,",jikkuri,*carefully*,See also *shikkari*. ,,,,,,,,,,,,,,,,,"タッタッタッ,",tattatta,*tap tap tap* ,SFX for jogging or running. ,,,,,,,,,,,,,,,,,"ドッカン,",dokkan,ka-boom! boom!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *splash splash*;,,,ぶらん,,,,,"ヘラヘラ,",hera hera,*laugh meaninglessly*,"Forced, meaningless laugh. ",,"ボソ,",boso,(1) *mumble* *mutter*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワザワザ,",waza waza,*expressly* *intentionally*,To go through the trouble of doing something. ,,,,,,,,,,,,,,,,,,,,
,,,,,,"アレェ,",aree,*huh?* *wha-?*,,,,,,,,,,,,,,,,,,,,,,,がきぃっ,,,,,ぎとぎと,,,,,"グララ,",gurara,*shake shake* *wobble wobble*,SFX for something teetering and losing balance. ,,,,,,,ごっくり,,,,,,,,,,じっくり,,*thoroughly*,,,"スパーッ,",supa-,*dash*,"SFX for a sudden burst of speed, usually when a character suddenly starts running. ",,,,,,,,,,,,たったったっ,,*thud thud* ,,,"チリチリ,",chiri chiri,(1) *crisp* *burnt* *black*;,(1) Something almost burning or slightly burnt;,,,,,,,,,,,,どっかん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"バイイン,",baiin,*boing*,SFX for something bouncy or bouncing out.,,,,(4) *shaa* *splash*,,,"ブリブリ,",buri buri,*fume* *fret*,"SFX for worrying over something, stronger than *puri puri*. ",,へらへら,,*hollow laugh*,,,ぼそ,,(2) *whisper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わざわざ,,,,,,,,,,,,,,,,,,,,,,,
